Client.ID,BEACH,Full_date,Escherichia.coli,Drek_Prediction,Weekday
5,Albion,2009-08-05,48.84792728458394,37.4,Wednesday
5,Albion,2009-08-06,20.298275788844727,37.4,Thursday
5,Albion,2009-08-07,57.9475625026627,37.4,Friday
5,Albion,2009-08-10,22.449053432160564,37.4,Monday
5,Albion,2009-08-11,16.540858502508268,37.4,Tuesday
5,Albion,2009-08-12,10.158740079360236,37.4,Wednesday
5,Albion,2009-08-13,10.183319694480772,37.4,Thursday
5,Albion,2009-08-14,4.6173585522460785,37.4,Friday
5,Albion,2009-08-17,44.74986033497758,37.4,Monday
5,Albion,2009-08-18,28.420063335608525,37.4,Tuesday
5,Albion,2009-08-19,107.26602444390302,37.4,Wednesday
5,Albion,2009-08-20,4.404543109109048,37.4,Thursday
5,Albion,2009-08-21,1.760681686165901,37.4,Friday
5,Albion,2009-08-24,3.286335345030997,37.4,Monday
5,Albion,2009-08-25,10.734989520255713,37.4,Tuesday
5,Albion,2009-08-26,73.31698302576287,37.4,Wednesday
5,Albion,2009-08-27,22.703744184605323,37.4,Thursday
5,Albion,2009-08-31,78.67140522451598,37.4,Monday
5,Albion,2009-09-01,44.040890090914374,37.4,Tuesday
5,Albion,2009-09-02,23.12271610343387,37.4,Wednesday
5,Albion,2009-09-03,10.734989520255713,37.4,Thursday
5,Albion,2010-05-25,14.373934743138358,37.4,Tuesday
5,Albion,2010-05-26,32.98499658935862,37.4,Wednesday
5,Albion,2010-05-27,121.0157014605956,37.4,Thursday
5,Albion,2010-05-28,42.07231869055947,37.4,Friday
5,Albion,2010-06-01,1.0,37.4,Tuesday
5,Albion,2010-06-02,68.98499836921069,37.4,Wednesday
5,Albion,2010-06-03,147.80866009811467,37.4,Thursday
5,Albion,2010-06-04,67.94667026425945,37.4,Friday
5,Albion,2010-06-07,35.5,37.4,Monday
5,Albion,2010-06-08,44.67706346661562,37.4,Tuesday
5,Albion,2010-06-09,43.79897259068984,37.4,Wednesday
5,Albion,2010-06-10,14.875147058096601,37.4,Thursday
5,Albion,2010-06-11,50.32295698784005,37.4,Friday
5,Albion,2010-06-14,24.534057960313046,37.4,Monday
5,Albion,2010-06-15,51.1937496184837,37.4,Tuesday
5,Albion,2010-06-16,5.041825066382212,37.4,Wednesday
5,Albion,2010-06-17,75.30657341826144,37.4,Thursday
5,Albion,2010-06-18,4.6173585522460785,37.4,Friday
5,Albion,2010-06-21,21.6,37.4,Monday
5,Albion,2010-06-22,1.0,37.4,Tuesday
5,Albion,2010-06-23,20.393871628506442,37.4,Wednesday
5,Albion,2010-06-24,50.38243741622669,37.4,Thursday
5,Albion,2010-06-25,8.449852069711044,37.4,Friday
5,Albion,2010-06-28,1.414213562373095,37.4,Monday
5,Albion,2010-06-29,71.87802167561375,37.4,Tuesday
5,Albion,2010-06-30,12.733420593069248,37.4,Wednesday
5,Albion,2010-07-01,2.0,37.4,Thursday
5,Albion,2010-07-02,5.13322510708424,37.4,Friday
5,Albion,2010-07-06,1.760681686165901,37.4,Tuesday
5,Albion,2010-07-07,1.7320508075688774,37.4,Wednesday
5,Albion,2010-07-08,100.6518752930118,37.4,Thursday
5,Albion,2010-07-09,546.9567441763562,37.4,Friday
5,Albion,2010-07-12,7.3607064878311785,37.4,Monday
5,Albion,2010-07-13,25.036972660447585,37.4,Tuesday
5,Albion,2010-07-14,127.73660399431323,37.4,Wednesday
5,Albion,2010-07-15,198.46513547724194,37.4,Thursday
5,Albion,2010-07-16,175.70936230036236,37.4,Friday
5,Albion,2010-07-19,57.66402691453312,37.4,Monday
5,Albion,2010-07-20,44.926606816006036,37.4,Tuesday
5,Albion,2010-07-21,3.5496478698597698,37.4,Wednesday
5,Albion,2010-07-22,1367.0571421853585,37.4,Thursday
5,Albion,2010-07-23,1.7320508075688774,37.4,Friday
5,Albion,2010-07-26,267.36110412698406,37.4,Monday
5,Albion,2010-07-27,17.18894993884152,37.4,Tuesday
5,Albion,2010-07-28,1.0,37.4,Wednesday
5,Albion,2010-07-29,129.43508025261158,37.4,Thursday
5,Albion,2010-07-30,20.962347196819348,37.4,Friday
5,Albion,2010-08-02,2.8635642126552705,37.4,Monday
5,Albion,2010-08-03,23.761733943464648,37.4,Tuesday
5,Albion,2010-08-04,18.430680942385173,37.4,Wednesday
5,Albion,2010-08-05,11.719214990774766,37.4,Thursday
5,Albion,2010-08-06,18.94993403682451,37.4,Friday
5,Albion,2010-08-09,53.174241884581676,37.4,Monday
5,Albion,2010-08-10,13.062924634246345,37.4,Tuesday
5,Albion,2010-08-11,19.745379206285204,37.4,Wednesday
5,Albion,2010-08-12,122.37193305656326,37.4,Thursday
5,Albion,2010-08-13,67.50266661399385,37.4,Friday
5,Albion,2010-08-16,7.5,37.4,Monday
5,Albion,2010-08-17,26.801492495754786,37.4,Tuesday
5,Albion,2010-08-19,40.0099987503124,37.4,Thursday
5,Albion,2010-08-20,179.72579113749924,37.4,Friday
5,Albion,2010-08-23,1.414213562373095,37.4,Monday
5,Albion,2010-08-24,6.873863542433759,37.4,Tuesday
5,Albion,2010-08-25,20.53825698544061,37.4,Wednesday
5,Albion,2010-08-26,8.986100377805714,37.4,Thursday
5,Albion,2010-08-27,8.284926070883191,37.4,Friday
5,Albion,2010-08-30,10.545141061171254,37.4,Monday
5,Albion,2010-08-31,122.0327824807744,37.4,Tuesday
5,Albion,2010-09-01,34.80014367786432,37.4,Wednesday
5,Albion,2010-09-02,2192.270850054801,37.4,Thursday
5,Albion,2010-09-03,596.0681840192445,37.4,Friday
5,Albion,2011-05-23,1.0,37.4,Monday
5,Albion,2011-05-26,921.6390616721928,37.4,Thursday
5,Albion,2011-05-27,187.5249850019991,37.4,Friday
5,Albion,2011-05-31,9.957911427603683,37.4,Tuesday
5,Albion,2011-06-01,2.8635642126552705,37.4,Wednesday
5,Albion,2011-06-02,209.4693294971844,37.4,Thursday
5,Albion,2011-06-03,20.34846431552023,37.4,Friday
5,Albion,2011-06-06,96.23736280676025,37.4,Monday
5,Albion,2011-06-07,1.414213562373095,37.4,Tuesday
5,Albion,2011-06-08,1.414213562373095,37.4,Wednesday
5,Albion,2011-06-09,197.5802368659376,37.4,Thursday
5,Albion,2011-06-10,284.6347659721138,37.4,Friday
5,Albion,2011-06-11,106.08939626560233,37.4,Saturday
5,Albion,2011-06-13,7.3607064878311785,37.4,Monday
5,Albion,2011-06-14,3.2249030993194197,37.4,Tuesday
5,Albion,2011-06-15,59.78118433085781,37.4,Wednesday
5,Albion,2011-06-16,53.600373133029585,37.4,Thursday
5,Albion,2011-06-17,20.80769088582392,37.4,Friday
5,Albion,2011-06-20,18.9,37.4,Monday
5,Albion,2011-06-21,1.0,37.4,Tuesday
5,Albion,2011-06-22,158.12940902944018,37.4,Wednesday
5,Albion,2011-06-23,1.414213562373095,37.4,Thursday
5,Albion,2011-06-24,13.692333621410194,37.4,Friday
5,Albion,2011-06-27,41.78516483155236,37.4,Monday
5,Albion,2011-06-28,3.5496478698597698,37.4,Tuesday
5,Albion,2011-06-29,1.414213562373095,37.4,Wednesday
5,Albion,2011-06-30,6.244997998398398,37.4,Thursday
